Save_Slot,Name,Answer,Masked_Answer,Guesses,Incorrect_Guesses
Steph,Stephyberry,cylinder,"[""_"", ""_"", ""l"", ""_"", ""_"", ""_"", ""_"", ""_""]","[""l"", ""x""]",1
Lincoln,Lingunberry,familiar,"[""_"", ""_"", ""_"", ""_"", ""l"", ""_"", ""_"", ""_""]","[""l"", ""j""]",1
